Time1,Time2,Mech Data,new_column
0.01,0.05,0.035542169,
0.02,0.07,0.035542169,
0.03,0.08,0.035746988,
0.04,0.09,0.035746988,
0.05,0.11,0.035746988,0.035542169
0.06,0.12,0.035746988,
0.07,0.14,0.035626506,0.035542169
0.08,0.15,0.035626506,0.035746988
0.09,0.16,0.035626506,0.035746988
0.1,0.18,0.035626506,
0.11,0.2,0.035554217,0.035746988
0.12,0.21,0.035554217,0.035746988
0.13,0.22,0.035554217,
0.14,0.24,0.035554217,0.035626506
0.15,0.25,0.035650602,0.035626506
0.16,0.27,0.035650602,0.035626506
0.17,0.28,0.035650602,
0.18,0.3,0.035650602,0.035626506
0.19,0.31,0.035518072,
0.2,0.33,0.035518072,0.035554217
0.21,0.34,0.035518072,0.035554217
0.22,0.36,0.035518072,0.035554217
0.23,0.37,0.035855422,
0.24,0.39,0.035855422,0.035554217
0.25,0.4,0.035855422,0.035650602
0.26,0.42,0.035855422,
0.27,0.43,0.035506024,0.035650602
0.28,0.45,0.035506024,0.035650602
0.29,0.46,0.035506024,
0.3,0.48,0.035506024,0.035650602
0.31,0.49,0.035746988,0.035518072
0.32,0.51,0.035746988,
0.33,0.52,0.035746988,0.035518072
0.34,0.54,0.035746988,0.035518072
0.35,0.55,0.035626506,
0.36,0.56,0.035626506,0.035518072
0.37,0.58,0.035626506,0.035855422
0.38,0.59,0.035626506,
0.39,0.61,0.035518072,0.035855422
0.4,0.62,0.035518072,0.035855422
0.41,0.64,0.035518072,
0.42,0.65,0.035518072,0.035855422
0.43,0.67,0.035771084,0.035506024
0.44,0.68,0.035771084,
0.45,0.7,0.035771084,0.035506024
0.46,0.71,0.035771084,0.035506024
0.47,0.73,0.03573494,
0.48,0.74,0.03573494,0.035506024
0.49,0.76,0.03573494,0.035746988
0.5,0.77,0.03573494,
0.51,0.79,0.035650602,0.035746988
0.52,0.8,0.035650602,0.035746988
0.53,0.82,0.035650602,
0.54,0.83,0.035650602,0.035746988
0.55,0.84,0.035566265,0.035626506
0.56,0.86,0.035566265,0.035626506
0.57,0.87,0.035566265,
0.58,0.89,0.035566265,0.035626506
0.59,0.9,0.035771084,0.035626506
0.6,0.92,0.035771084,
0.61,0.93,0.035771084,0.035518072
0.62,0.95,0.035771084,0.035518072
0.63,0.96,0.035650602,
0.64,0.98,0.035650602,0.035518072
0.65,0.99,0.035650602,0.035518072
0.66,1.01,0.035650602,
0.67,1.02,0.035686747,0.035771084
0.68,1.04,0.035686747,0.035771084
0.69,1.05,0.035686747,
0.7,1.07,0.035686747,0.035771084
0.71,1.08,0.035493976,0.035771084
0.72,1.1,0.035493976,
0.73,1.11,0.035493976,0.03573494
0.74,1.12,0.035493976,0.03573494
0.75,1.14,0.035578313,
0.76,1.16,0.035578313,0.03573494
0.77,1.17,0.035578313,0.03573494
0.78,1.18,0.035578313,
0.79,1.2,0.03560241,0.035650602
0.8,1.21,0.03560241,0.035650602
0.81,1.23,0.03560241,
0.82,1.24,0.03560241,0.035650602
0.83,1.26,0.035698795,0.035650602
0.84,1.27,0.035698795,0.035566265
0.85,1.29,0.035698795,
0.86,1.3,0.035698795,0.035566265
0.87,1.32,0.035481928,0.035566265
0.88,1.33,0.035481928,
0.89,1.35,0.035481928,0.035566265
0.9,1.36,0.035481928,0.035771084
0.91,1.38,0.03560241,
